symbol,trigger_date,trigger_ts,oi_mc,oi_coins,oi_usd,mc_usd,surge_15m,price_before_24h,price_at_trigger,price_after_24h,price_after_48h,price_after_7d,change_before_24h_pct,return_24h_pct,return_48h_pct,return_7d_pct
ZEREBRO/USDT,2025-03-04,2025-03-04 05:00:00,0.2583,258314702.0,18133692.0,70196544.0,0.1359,0.0528,0.0702,0.0427,0.0385,0.0309,32.95,-39.17,-45.16,-55.98
DEGO/USDT,2025-03-07,2025-03-07 09:30:00,0.2561,5377363.0,10684283.0,41724900.0,0.1462,1.5262,1.9869,1.9682,2.0304,1.8626,30.19,-0.94,2.19,-6.26
HEI/USDT,2025-03-14,2025-03-14 05:15:00,0.2329,20417607.0,10008711.0,42976786.0,0.1405,0.4303,0.4902,0.5399,0.5414,0.49,13.92,10.14,10.44,-0.04
TUT/USDT,2025-03-27,2025-03-27 17:15:00,0.6132,512468566.0,20754977.0,33849132.0,1.4635,0.01713,0.0405,0.03925,0.04445,0.02365,136.43,-3.09,9.75,-41.6
VINE/USDT,2025-03-29,2025-03-29 01:15:00,0.3514,351429240.0,14429685.0,41058798.0,0.2446,0.02621,0.04106,0.03081,0.03417,0.03276,56.66,-24.96,-16.78,-20.21
HIPPO/USDT,2025-04-01,2025-04-01 19:00:00,0.2674,2673613755.0,12699665.0,47500000.0,0.2148,0.00419,0.00475,0.00374,0.00344,0.00182,13.37,-21.26,-27.58,-61.68
HIPPO/USDT,2025-04-09,2025-04-09 17:45:00,0.361,3609709084.0,8302331.0,23000000.0,0.15,0.00179,0.0023,0.00225,0.00251,0.0018,28.49,-2.17,9.13,-21.74
BR/USDT,2025-04-12,2025-04-12 16:15:00,0.2215,55663442.0,3423302.0,15451875.0,0.1538,0.0537,0.0615,0.0576,0.0478,0.04218,14.53,-6.34,-22.28,-31.41
SHELL/USDT,2025-04-16,2025-04-16 05:45:00,0.2165,58456252.0,7827292.0,36153000.0,0.1494,0.1126,0.1339,0.1247,0.1305,0.1664,18.92,-6.87,-2.54,24.27
FHE/USDT,2025-04-17,2025-04-17 15:00:00,0.2177,54197740.0,3897359.0,17905590.0,0.1563,0.06373,0.07191,0.07897,0.08653,0.09933,12.84,9.82,20.33,38.13
MEME/USDT,2025-04-18,2025-04-18 07:00:00,7.1982,7195454096.0,13894422.0,1930262.0,0.2737,0.001443,0.001931,0.002114,0.002207,0.002218,33.82,9.48,14.29,14.86
MAGIC/USDT,2025-04-19,2025-04-19 16:00:00,0.2578,84463982.0,8480184.0,32891541.0,0.1094,0.0754,0.1004,0.1892,0.242,0.2117,33.16,88.45,141.04,110.86
HIPPO/USDT,2025-04-20,2025-04-20 21:30:00,0.266,2659820328.0,6069710.0,22820000.0,0.1159,0.001971,0.002282,0.00204,0.002269,0.002601,15.78,-10.6,-0.57,13.98
MUBARAK/USDT,2025-04-20,2025-04-20 04:30:00,0.4545,454457320.0,12874776.0,28330000.0,0.1127,0.02564,0.02833,0.03124,0.03062,0.03435,10.49,10.27,8.08,21.25
PIXEL/USDT,2025-04-21,2025-04-21 14:30:00,0.248,191204381.0,7642439.0,30818535.0,0.125,0.03146,0.03997,0.0398,0.04434,0.03992,27.05,-0.43,10.93,-0.13
JELLYJELLY/USDT,2025-04-23,2025-04-23 13:45:00,0.3971,397103268.0,7270961.0,18309984.0,0.1387,0.0113,0.01831,0.02351,0.02622,0.03547,62.04,28.4,43.2,93.72
KOMA/USDT,2025-04-23,2025-04-23 03:30:00,0.3164,191707152.0,5592098.0,17675688.0,0.1172,0.02358,0.02917,0.02248,0.0231,0.02215,23.71,-22.93,-20.81,-24.07
PNUT/USDT,2025-04-23,2025-04-23 16:45:00,1.726,172596208.0,29669288.0,17190000.0,0.1042,0.13872,0.1719,0.16108,0.17555,0.17292,23.92,-6.29,2.12,0.59
SWARMS/USDT,2025-04-23,2025-04-23 02:30:00,0.2597,259680927.0,9470563.0,36469447.0,0.3492,0.02117,0.03647,0.02859,0.02934,0.02964,72.27,-21.61,-19.55,-18.73
FHE/USDT,2025-04-25,2025-04-25 23:45:00,0.2434,60605358.0,7048403.0,28958700.0,0.1004,0.09981,0.1163,0.09333,0.09714,0.10747,16.52,-19.75,-16.47,-7.59
TUT/USDT,2025-04-25,2025-04-25 07:00:00,0.3866,323077730.0,10907104.0,28215968.0,0.1871,0.02744,0.03376,0.02804,0.02664,0.02845,23.03,-16.94,-21.09,-15.73
BMT/USDT,2025-04-27,2025-04-27 09:15:00,0.3827,98039682.0,11196132.0,29255859.0,0.1044,0.0912,0.1142,0.1236,0.1264,0.1498,25.22,8.23,10.68,31.17
MUBARAK/USDT,2025-04-27,2025-04-27 11:30:00,0.3939,393907716.0,16087191.0,40840000.0,0.1026,0.03423,0.04084,0.03708,0.03237,0.02981,19.31,-9.21,-20.74,-27.01
HAEDAL/USDT,2025-05-02,2025-05-02 03:15:00,0.2529,49307991.0,7550976.0,29862105.0,0.2367,0.114356,0.153139,0.190078,0.146001,0.136819,33.91,24.12,-4.66,-10.66
STO/USDT,2025-05-02,2025-05-02 10:15:00,0.2969,66898562.0,12041741.0,40560000.0,0.4088,0.12305,0.18,0.21389,0.16983,0.14838,46.28,18.83,-5.65,-17.57
VINE/USDT,2025-05-02,2025-05-02 16:00:00,0.2024,202398500.0,12301781.0,60778220.0,0.1049,0.04469,0.06078,0.04827,0.03861,0.0471,36.0,-20.58,-36.48,-22.51
KOMA/USDT,2025-05-08,2025-05-08 16:45:00,0.4039,244757655.0,6307405.0,15615444.0,0.2207,0.01716,0.02577,0.03283,0.0307,0.02623,50.17,27.4,19.13,1.79
PNUT/USDT,2025-05-08,2025-05-08 16:30:00,1.8016,180159019.0,38310815.0,21265000.0,0.1458,0.15,0.21265,0.30505,0.3381,0.3614,41.77,43.45,58.99,69.95
MUBARAK/USDT,2025-05-10,2025-05-10 00:00:00,0.4305,430453316.0,28917854.0,67180000.0,0.1161,0.03149,0.06718,0.04659,0.05106,0.0472,113.34,-30.65,-24.0,-29.74
HIPPO/USDT,2025-05-14,2025-05-14 09:30:00,0.2374,2373519451.0,11428496.0,48150000.0,0.1472,0.003561,0.004815,0.003195,0.003856,0.003037,35.21,-33.64,-19.92,-36.93
HAEDAL/USDT,2025-05-21,2025-05-21 10:00:00,0.474,92422887.0,14337840.0,30250935.0,0.1703,0.128441,0.155133,0.196612,0.175114,0.159519,20.78,26.74,12.88,2.83
STO/USDT,2025-05-22,2025-05-22 05:00:00,0.2615,58926512.0,8762962.0,33509320.0,0.1207,0.11867,0.14871,0.12894,0.13149,0.11826,25.31,-13.29,-11.58,-20.48
JELLYJELLY/USDT,2025-06-13,2025-06-13 16:15:00,0.5625,562500352.0,17128136.0,30449973.0,0.1775,0.02378,0.03045,0.02848,0.03016,0.02932,28.05,-6.47,-0.95,-3.71
HAEDAL/USDT,2025-06-16,2025-06-16 09:00:00,0.3983,77671205.0,9576471.0,24042525.0,0.1929,0.099741,0.123295,0.11142,0.121333,0.12693,23.62,-9.63,-1.59,2.95
MYX/USDT,2025-06-21,2025-06-21 09:45:00,0.3418,65196195.0,4839514.0,14160778.0,0.1535,0.06046,0.07423,0.06101,0.08729,0.1264,22.78,-17.81,17.59,70.28
BR/USDT,2025-06-23,2025-06-23 21:30:00,0.3622,91003805.0,7069176.0,19517100.0,0.504,0.04776,0.07768,0.07976,0.07958,0.07979,62.65,2.68,2.45,2.72
FUN/USDT,2025-06-23,2025-06-23 03:30:00,3.1035,3076471992.0,32533691.0,10482756.0,0.1102,0.007532,0.010575,0.009937,0.009736,0.009996,40.4,-6.03,-7.93,-5.48
H/USDT,2025-06-25,2025-06-25 13:30:00,1.2249,138954445.0,6519743.0,5322632.0,0.1677,0.03771,0.04692,0.02226,0.02086,0.07382,24.42,-52.56,-55.54,57.33
H/USDT,2025-07-02,2025-07-02 02:45:00,2.7238,308990768.0,24966454.0,9166000.0,0.1183,0.045,0.0808,0.06367,0.07759,0.05568,79.56,-21.2,-3.97,-31.09
BR/USDT,2025-07-03,2025-07-03 22:00:00,0.3503,88011719.0,10420588.0,29748000.0,0.3031,0.07971,0.1184,0.128,0.12794,0.07153,48.54,8.11,8.06,-39.59
MYX/USDT,2025-07-06,2025-07-06 21:30:00,1.1483,219066361.0,27643984.0,24073132.0,0.1262,0.0597,0.12619,0.09953,0.10693,0.0801,111.37,-21.13,-15.26,-36.52
