symbol,trigger_ts,trigger_date,oi_mc,surge,log_mc_usd,log_oi_usd,change_before_24h,volatility_24h,volume_ratio,price_range_24h,body_ratio,consecutive_green,rsi_14,bb_position,atr_pct,oi_change_1h,oi_change_24h,oi_acceleration,vol_range_ratio,oi_surge_ratio,pre_surge_ratio,return_24h,return_48h,return_7d,label_long,label_short,label,max_profit_24h,max_drawdown_24h
ZEREBRO/USDT,2025-03-04 05:00:00+00:00,2025-03-04,0.2583,0.1359,7.846315730952078,7.25848623498295,32.95,0.02890226692003028,11.65688822465356,0.6390134529147982,0.6774193548387094,8.0,78.8961038961039,1.3397764447750584,0.05494505494505495,,,,18.24200753752803,,2.4245768947755706,-39.17,-45.16,-55.98,not_long,short,short,4.131054131054124,-47.43589743589743
DEGO/USDT,2025-03-07 09:30:00+00:00,2025-03-07,0.2561,0.1462,7.6203953045004695,7.028745382878972,30.19,0.015822418746231623,23.898824126143698,0.5658701191378005,0.4518544935805993,2.0,85.96414516834284,1.5031551259548321,0.041672957874075184,,,,42.23376233853384,,2.0649794801641588,-0.94,2.19,-6.26,not_long,not_short,skip,14.439579244048506,-13.785293673561828
HEI/USDT,2025-03-14 05:15:00+00:00,2025-03-14,0.2329,0.1405,7.633233933848386,7.0003781492441846,13.92,0.01460916980949268,86.75005844744396,0.3287604115629593,0.5364120781527533,3.0,90.47619047619047,1.5767246344434656,0.02236696392143149,,,,263.8701479750121,,0.990747330960854,10.14,10.44,-0.04,long,not_short,long,13.321093431252539,-12.32150142798858
TUT/USDT,2025-03-27 17:15:00+00:00,2025-03-27,0.6132,1.4635,7.529547536464484,7.317122256443586,136.43,0.09226720057045673,61.0210351094346,1.7373540856031127,0.9228998849252016,1.0,97.26027397260273,1.5889859856123225,0.05248677248677248,,,,35.122969816628654,,0.9322172873249062,-3.09,9.75,-41.6,not_long,not_short,skip,29.43209876543209,-60.14814814814815
VINE/USDT,2025-03-29 01:15:00+00:00,2025-03-29,0.3514,0.2446,7.613406231210698,7.159256850549143,56.66,0.030018105631561955,62.18997994717287,0.863404255319149,0.7116402116402115,13.0,99.10661107802262,1.4415531739519167,0.04439496207640387,,,,72.02880871160978,,2.3164349959116923,-24.96,-16.78,-20.21,not_long,short,short,9.595713589868481,-25.88894301022894
HIPPO/USDT,2025-04-01 19:00:00+00:00,2025-04-01,0.2674,0.2148,7.676693609624866,7.103792265005538,13.37,0.03797485435068351,6.295843730491259,0.8188679245283017,0.9032258064516127,4.0,94.59459459459461,1.4152360793300587,0.03157894736842104,,,,7.6884727584340276,,0.6224394785847299,-21.26,-27.58,-61.68,not_long,short,short,2.5263157894736876,-29.263157894736835
HIPPO/USDT,2025-04-09 17:45:00+00:00,2025-04-09,0.361,0.15,7.361727836017593,6.919200043979613,28.49,0.019574357006142663,12.176622886119686,0.40588235294117664,0.7692307692307687,1.0,87.23404255319153,1.5597240393088934,0.028571428571428577,,,,30.00037522667168,,1.8993333333333333,-2.17,9.13,-21.74,not_long,not_short,skip,29.565217391304355,-13.043478260869556
BR/USDT,2025-04-12 16:15:00+00:00,2025-04-12,0.2215,0.1538,7.188981186203962,6.5344452138174285,14.53,0.023542576989161932,7.374016519769231,0.3835920177383591,0.8367346938775513,2.0,90.05235602094241,1.4782731257355721,0.04018583042973284,,,,19.22359219893598,,0.9447334200260078,-6.34,-22.28,-31.41,not_long,not_short,skip,5.853658536585371,-18.211382113821138
SHELL/USDT,2025-04-16 05:45:00+00:00,2025-04-16,0.2165,0.1494,7.558144341170996,6.893611535637088,18.92,0.01674366885935695,81.0670141091939,0.2991913746630729,0.6170212765957441,2.0,78.1132075471698,1.5482969803954862,0.023951776378960843,,,,270.9537138244228,,1.2663989290495314,-6.87,-2.54,24.27,not_long,not_short,skip,7.991038088125468,-13.069454817027626
FHE/USDT,2025-04-17 15:00:00+00:00,2025-04-17,0.2177,0.1563,7.252988635849053,6.5907704120893245,12.84,0.01974870159001276,8.757098150129734,0.4282915360501568,0.9033457249070627,1.0,79.12431587177483,1.0346754994032195,0.05021157399129865,,,,20.446582323084243,,0.8214971209213052,9.82,20.33,38.13,long,not_short,long,15.880962314003622,-18.537060214156586
MEME/USDT,2025-04-18 07:00:00+00:00,2025-04-18,7.1982,0.2737,6.285616261044932,7.142840485087363,33.82,0.02495023006002828,32.917306111796385,0.3790149892933619,0.9928229665071772,1.0,94.00749063670413,1.5400647449576583,0.02570836724125176,,,,86.84961556050231,,1.2356594811837778,9.48,14.29,14.86,long,not_short,long,32.67736923873641,-21.59502848265148
MAGIC/USDT,2025-04-19 16:00:00+00:00,2025-04-19,0.2578,0.1094,7.517084221069123,6.928405275525314,33.16,0.013265781162890658,62.49541972557501,0.390896921017403,0.6428571428571428,8.0,99.5495495495496,1.3848671201441123,0.0281018782014798,,,,159.8769812842621,,3.0310786106032905,88.45,141.04,110.86,long,not_short,long,105.57768924302789,-11.852589641434275
HIPPO/USDT,2025-04-20 21:30:00+00:00,2025-04-20,0.266,0.1159,7.358315640082195,6.783167941749322,15.78,0.015988482146532774,9.843842084326184,0.2514840798704802,0.8061224489795926,9.0,93.8118811881188,1.510533347418534,0.01768498810567172,,,,39.143002966215505,,1.361518550474547,-10.6,-0.57,13.98,not_long,short,short,4.075372480280448,-11.9193689745837
MUBARAK/USDT,2025-04-20 04:30:00+00:00,2025-04-20,0.4545,0.1127,7.452246574520437,7.109739681766804,10.49,0.012475908868362213,38.16765104876907,0.3617021276595745,0.43816793893129785,4.0,85.13761467889906,1.518101496918238,0.026423276688013725,,,,105.52232937012626,,0.9307897071872228,10.27,8.08,21.25,not_long,not_short,skip,16.237204376985524,-12.95446523120367
PIXEL/USDT,2025-04-21 14:30:00+00:00,2025-04-21,0.248,0.125,7.488811990107967,6.88323198098411,27.05,0.013874412656063179,24.82847801625379,0.35624586913417056,0.7830687830687828,5.0,95.92074592074589,1.3938369153988368,0.026287572822474015,,,,69.69478151872353,,2.164,-0.43,10.93,-0.13,long,not_short,long,30.89817363022267,-11.508631473605202
JELLYJELLY/USDT,2025-04-23 13:45:00+00:00,2025-04-23,0.3971,0.1387,7.2626879647978875,6.861591815180213,62.04,0.025860862805366022,31.11735469431577,0.7315555555555557,0.5915119363395219,6.0,89.77853492333901,1.4515635907851898,0.04201451197628152,,,,42.53587367084476,,4.47296322999279,28.4,43.2,93.72,long,not_short,long,60.2403058438012,-14.199890770071011
